FromId,ToId,Type
8828f5f8-baf7-4c2c-9941-262b8ba6f932,9ef213ca-4ac6-471a-a785-8f8882050458,arrow
96ab2437-0b56-425b-a85d-1a81822fd9ae,289ba367-5ef6-441f-ab61-34ac634b27a1,arrow
